outer_fold,n_trials,n_sessions,mse,rmse,mae,r2
1,204,3,2.7464619541203876,1.6572452908728954,1.207513861212076,0.5835166848401088
2,214,4,3.1705536236150524,1.7806048476894172,1.323116410001416,0.5222291131411778
3,204,4,4.362302733228425,2.0886126335987782,1.5338836056636829,0.5597232698235255
4,218,5,2.0514530027866713,1.4322894270316566,1.0510937385602828,0.6951057964994045
