metric,session_id,session_start,session_end,elapsed_seconds_start_to_finish,sum_trial_elapsed_seconds,mean_trial_elapsed_seconds,n_trials
shortest_session,2a298ece-1693-424d-9d70-7988e3c23aa6,2025-03-30 17:14:15.120,2025-03-30 17:15:57.389,102.269,102.218,6.388625,16
longest_session,ad87efc0-28f6-4acc-8ec2-a5f449e974bc,2025-03-30 21:56:02.547,2025-03-30 22:08:50.946,768.399,757.853,5.413235714285714,140
