metric,session_id,start_trial_id,min_trial_position,start_vr_row,start_eeg_row,end_trial_id,max_trial_position,end_vr_row,end_eeg_row,elapsed_rows,elapsed_seconds,n_trials,time_source
shortest_session,74500da8-b16d-48c9-a573-2b507d395bbb,74500da8-b16d-48c9-a573-2b507d395bbb__vr117__eeg116__row290,290,117,116,74500da8-b16d-48c9-a573-2b507d395bbb__vr131__eeg131__row304,304,131,131,14,14.0,14,trial_row extracted from trial_id; assuming 1.0 row(s) per second
longest_session,ad87efc0-28f6-4acc-8ec2-a5f449e974bc,ad87efc0-28f6-4acc-8ec2-a5f449e974bc__vr132__eeg132__row387,387,132,132,ad87efc0-28f6-4acc-8ec2-a5f449e974bc__vr271__eeg272__row525,525,271,272,138,138.0,139,trial_row extracted from trial_id; assuming 1.0 row(s) per second
