session_id,test_version,session_median_metric,session_mean_metric,n_rows
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,4.565310955047607,4.952487180972922,29
2a298ece-1693-424d-9d70-7988e3c23aa6,1,5.478938579559326,5.982631554970374,13
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,3.9240026473999023,4.277446512075571,65
74500da8-b16d-48c9-a573-2b507d395bbb,1,4.443678379058838,4.69833471775055,10
84a32360-b241-415e-9626-55dddd442162,1,3.6609795093536377,4.036613007386525,24
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,4.515065670013428,5.389908790588379,17
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.59015154838562,5.82711363022144,130
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.541106700897217,5.836656474355442,67
f59e9a00-0a45-4497-8048-818cd5f48267,1,5.7663984298706055,5.776141079989347,33
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.2113728523254395,5.501534933267638,43
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4.311224460601807,4.61615084807078,60
52c3627d-635c-44b0-8eca-f1a6c372019d,2,5.203649044036865,5.801642592748006,30
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4.607004404067993,4.689442414503831,26
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,5.044199466705322,5.314711955588634,127
dfb19734-6102-44df-8e11-9947e134eeb2,2,4.358581066131592,4.752298304012844,42
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,3.7613264322280884,4.324244602521261,30
