session_id,test_version,session_median_metric,session_mean_metric,n_rows
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,5.641159851301115,5.651822336261966,29
2a298ece-1693-424d-9d70-7988e3c23aa6,1,5.665927710843374,6.366650781178851,13
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,5.574968249617475,5.778036306411438,72
74500da8-b16d-48c9-a573-2b507d395bbb,1,5.708645161290323,5.517704743416279,11
84a32360-b241-415e-9626-55dddd442162,1,5.039844912280701,5.3824989212064915,24
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,4.836125786163522,5.32857846888546,17
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.670212943632568,5.9941852502522215,133
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.276110497237569,5.295230531257307,61
f59e9a00-0a45-4497-8048-818cd5f48267,1,5.2814544907238705,5.793068581107841,28
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.3800784313725485,5.477215327969439,45
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4.491960000000001,4.76601582550014,60
52c3627d-635c-44b0-8eca-f1a6c372019d,2,5.563509646333486,5.547843118628163,32
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4.459626168224299,4.919841814219769,31
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,4.039374834437086,4.302364262373084,113
dfb19734-6102-44df-8e11-9947e134eeb2,2,4.716210355329949,4.911815841822241,42
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,4.676968421052631,4.847508792500797,35
