session_id,test_version,metric
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.6397809982299805
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.151367664337158
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.77609920501709
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9.691436767578123
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.461479663848877
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9.98944854736328
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,7.212266445159912
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.343593120574951
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.205318927764893
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.0598576068878174
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9.025619506835938
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.7804694175720215
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.6570048332214355
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.3206562995910645
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.706615447998047
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.817388534545898
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.5593342781066895
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,7.004083156585693
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.281001091003418
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.1670961380004883
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.882080554962158
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.538934230804443
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9.167425155639648
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,8.005406379699707
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.74161958694458
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.041190147399902
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.771856784820557
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.0449001789093018
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.392881870269775
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,7.165435791015625
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.773435354232788
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.813869953155518
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.235095024108887
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,8.153286933898926
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.784047603607178
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,2.8301031589508057
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.058495998382568
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,6.214474201202393
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.030868053436279
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,9.82797622680664
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.37242317199707
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,8.731952667236328
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.120274066925049
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,3.6244027614593506
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.65913724899292
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.981707572937012
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,8.044695854187012
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.16696310043335
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.897924423217773
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.614295959472656
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,4.444019794464111
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.688884258270264
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,7.021140098571777
