outer_fold,n_rows,n_unique_trials,n_unique_sessions,computed_mse,computed_rmse,computed_mae,computed_r2,reported_mse,reported_rmse,reported_mae,reported_r2
1,204,204,3,2.7464619541203876,1.6572452908728954,1.207513861212076,0.5835166848401088,2.746462,1.657245,1.207514,0.583517
2,214,214,4,3.1705536236150524,1.7806048476894172,1.323116410001416,0.5222291131411778,3.170554,1.780605,1.323116,0.522229
3,204,204,4,4.362302733228425,2.0886126335987782,1.5338836056636829,0.5597232698235255,4.362303,2.088613,1.533883,0.559723
4,218,218,5,2.0514530027866713,1.4322894270316566,1.0510937385602828,0.6951057964994045,2.051453,1.432289,1.051094,0.695106
