session_id,test_version,session_auc_true,session_mean,n_trials,first_vr_id,last_vr_id
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,171.45989330588202,5.930634365256797,30,428,457
2a298ece-1693-424d-9d70-7988e3c23aa6,1,105.35781598464544,7.215590558288895,16,35,50
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,485.14399004832796,5.813330789039123,85,1786,1870
74500da8-b16d-48c9-a573-2b507d395bbb,1,93.85637075168822,7.462119905976203,14,117,131
84a32360-b241-415e-9626-55dddd442162,1,165.67105159704968,6.172647639780264,28,1,30
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,108.5010167285554,6.253117137206088,19,95,114
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,834.4638036717326,6.049233597056224,139,132,271
c9a0db8e-8359-4a36-8e49-5080627736e3,1,352.08357072314055,5.3197141721123815,68,359,426
f59e9a00-0a45-4497-8048-818cd5f48267,1,186.61211526785496,5.921932295737918,33,323,356
359314b3-5a7c-4dd0-b813-6d8344c62062,2,255.66921865609655,5.504744775960315,48,274,322
396f53e6-e4aa-4d49-861d-5cab0e380592,2,297.4592209928302,4.699348918006569,65,2054,2118
52c3627d-635c-44b0-8eca-f1a6c372019d,2,289.20210153294056,7.249404273443201,41,52,94
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,156.07131211033013,5.198936180602324,32,2121,2152
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,532.7548242030724,4.178360632507199,129,2155,2292
dfb19734-6102-44df-8e11-9947e134eeb2,2,232.997576061559,5.352329188024204,45,460,505
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,200.3930071115281,5.474446692453201,38,1987,2024
