metric,performance_metric,session_id,round_id,start_time,end_time,trial_elapsed_seconds,score,test_version
lowest_performance_metric,0.0,ad87efc0-28f6-4acc-8ec2-a5f449e974bc,135,2025-03-30 21:56:20.522,2025-03-30 21:56:20.527,0.005,3,1
highest_performance_metric,25.60894481437126,52c3627d-635c-44b0-8eca-f1a6c372019d,51,2025-03-30 17:23:36.013,2025-03-30 17:24:00.482,24.469,0,2
