metric,score,session_id,round_id,start_time,end_time,trial_elapsed_seconds,performance_metric,test_version
lowest_raw_score,0,84a32360-b241-415e-9626-55dddd442162,1,2025-03-30 17:01:40.237,2025-03-30 17:01:51.858,11.621,10.824410761290322,1
highest_raw_score,142,ad87efc0-28f6-4acc-8ec2-a5f449e974bc,272,2025-03-30 22:08:35.943,2025-03-30 22:08:50.946,15.003,17.254901960784316,1
