session_id,test_version,session_median_performance,session_mean_performance,n_rounds
23a477dd-d8b8-42c6-adbe-47f39ed77952,1,5.990660923076923,6.309887885299658,31
2a298ece-1693-424d-9d70-7988e3c23aa6,1,5.775109309534434,7.218960829578,16
359314b3-5a7c-4dd0-b813-6d8344c62062,2,5.346462594519685,5.426943901355209,49
396f53e6-e4aa-4d49-861d-5cab0e380592,2,4.441445250000001,4.699830853858145,65
3e4a23a8-c0e7-4ce7-ae53-eeaf9f4c0fd5,1,5.2845767441860465,5.778638898530163,85
52c3627d-635c-44b0-8eca-f1a6c372019d,2,6.866949959218538,7.883795761674088,44
74500da8-b16d-48c9-a573-2b507d395bbb,1,6.8600198566473995,8.13711946968329,15
84a32360-b241-415e-9626-55dddd442162,1,5.702535859649123,6.016263043334953,29
957d4d90-5e33-448f-8662-9a27f6f2b66c,2,4.461793928971963,4.922258250184639,31
99ea5a4e-5011-47ee-823c-56fdacec63f5,1,5.042772757894741,6.290943530341285,19
ad87efc0-28f6-4acc-8ec2-a5f449e974bc,1,5.6311687487363375,6.076826518413331,140
c488b456-7651-4424-8cc9-8f81ed92e0e2,2,3.707507814674557,4.031153494121813,137
c9a0db8e-8359-4a36-8e49-5080627736e3,1,5.199118247646828,5.323222971252555,68
dfb19734-6102-44df-8e11-9947e134eeb2,2,4.7202707697555635,5.128689493925649,44
f43c63f7-4814-4cda-8fb8-a6a19cfbc342,2,4.733912346443693,5.474919533349906,38
f59e9a00-0a45-4497-8048-818cd5f48267,1,5.56083969416499,6.812084996814425,35
