timestamp,tp9,af7,af8,tp10,hr
1732551762.354,-1000.000,-702.637,189.453,-1000.000,0.000
1732551762.358,-1000.000,-618.652,207.031,-994.141,0.000
1732551762.362,-1000.000,-872.070,416.992,-952.148,0.000
1732551762.366,-1000.000,-1000.000,622.559,-854.004,0.000
1732551762.370,-1000.000,-765.625,176.270,-982.910,0.000
1732551762.374,-1000.000,-614.258,386.719,-945.801,0.000
1732551762.377,-1000.000,-844.727,922.852,-759.277,0.000
1732551762.381,-1000.000,-996.094,769.043,-764.648,0.000
1732551762.385,-1000.000,-815.430,620.117,-824.219,0.000
1732551762.389,-1000.000,-558.594,781.250,-622.070,0.000
1732551762.393,-1000.000,-622.559,577.637,-831.543,0.000
1732551762.397,-1000.000,-868.164,494.141,-1000.000,0.000
1732551762.401,-1000.000,-777.344,302.734,-975.586,0.000
1732551762.405,-1000.000,-471.191,-16.602,-1000.000,0.000
1732551762.409,-1000.000,-458.984,298.828,-928.711,0.000
1732551762.413,-1000.000,-728.027,479.492,-933.594,0.000
1732551762.417,-1000.000,-754.395,291.016,-1000.000,0.000
1732551762.420,-1000.000,-475.098,472.656,-985.352,0.000
1732551762.424,-1000.000,-330.566,624.023,-935.059,0.000
1732551762.428,-1000.000,-560.059,322.754,-1000.000,0.000
1732551762.432,-1000.000,-749.512,652.832,-553.223,0.000
1732551762.436,-1000.000,-535.645,756.348,-138.184,0.000
1732551762.440,-1000.000,-278.320,264.648,-799.316,0.000
1732551762.444,-1000.000,-455.078,387.207,-991.211,0.000
1732551762.448,-1000.000,-721.680,305.664,-937.500,0.000
1732551762.452,-1000.000,-606.445,142.090,-898.926,0.000
1732551762.456,-1000.000,-371.094,421.875,-759.766,0.000
1732551762.459,-1000.000,-466.309,517.090,-866.699,0.000
1732551762.463,-1000.000,-804.199,471.191,-872.070,0.000
1732551762.467,-1000.000,-833.496,541.992,-672.363,0.000
1732551762.471,-1000.000,-566.406,542.969,-593.262,0.000
1732551762.475,-1000.000,-527.344,821.777,-459.473,0.000
1732551762.479,-1000.000,-857.910,981.445,1.953,0.000
1732551762.483,-1000.000,-963.867,723.145,-341.797,0.000
1732551762.487,-1000.000,-710.938,423.828,-939.941,0.000
1732551762.491,-1000.000,-626.953,523.438,-832.031,0.000
1732551762.495,-1000.000,-867.676,768.066,-628.906,0.000
1732551762.499,-1000.000,-1000.000,924.316,-286.133,0.000
1732551762.502,-1000.000,-910.156,820.312,-380.371,0.000
1732551762.506,-1000.000,-633.789,553.223,-682.617,0.000
1732551762.510,-1000.000,-750.977,678.223,-272.461,0.000
1732551762.514,-1000.000,-1000.000,976.074,774.414,0.000
1732551762.518,-1000.000,-977.051,967.773,51.758,0.000
1732551762.522,-1000.000,-864.258,958.008,-621.582,0.000
1732551762.526,-1000.000,-929.688,953.613,-257.324,0.000
1732551762.530,-1000.000,-1000.000,933.105,634.766,0.000
1732551762.534,-1000.000,-998.535,857.910,297.363,0.000
1732551762.538,-1000.000,-993.652,791.016,-1000.000,0.000
1732551762.541,-1000.000,-989.746,891.113,-1000.000,0.000
1732551762.545,-1000.000,-1000.000,981.934,263.672,0.000
1732551762.549,-1000.000,-1000.000,803.711,854.004,0.000
1732551762.553,-1000.000,-1000.000,697.266,-700.195,0.000
1732551762.557,-1000.000,-1000.000,743.652,-1000.000,0.000
1732551762.561,-1000.000,-1000.000,841.309,-167.480,0.000
1732551762.565,-1000.000,-1000.000,955.566,-924.316,0.000
1732551762.569,-1000.000,-1000.000,885.742,-187.500,0.000
1732551762.573,-1000.000,-1000.000,575.684,-1000.000,0.000
1732551762.577,-1000.000,-1000.000,377.930,-314.453,0.000
