analysis,true_n,true_mean,true_median,true_std,true_min,true_max,pred_n,pred_mean,pred_median,pred_std,pred_min,pred_max,mean_signed_error,median_signed_error,mae,rmse,max_abs_error,pearson_corr,ks_statistic,ks_p_value,ks_x,ks_signed_gap_true_minus_pred,ks_abs_gap,ecdf_true_at_ks_x,ecdf_pred_at_ks_x
outer_fold_1_trial_level,202,6.010823104641225,5.569268465042114,2.327179521826185,2.044722557067871,14.016182899475098,202,5.948912021547261,5.627038478851318,2.250959195327543,1.9041510820388792,16.16653823852539,-0.061911083093964245,0.0800471305847168,1.1729507641036911,1.5981718341590236,7.1833038330078125,0.7559173015077152,0.04455445544554455,0.988457595832095,6.373812198638916,-0.044554455445544594,0.044554455445544594,0.6237623762376238,0.6683168316831684
outer_fold_2_trial_level,209,4.852258431284051,4.326290607452393,2.4556005972459074,1.8894180059432983,15.503154754638672,209,5.277603196185171,4.858652591705322,1.9091071404848803,1.472422480583191,13.764501571655272,0.4253447649011201,0.6589272022247314,1.3015578591652464,1.764325968438001,10.290801525115967,0.7176444063591094,0.20095693779904306,0.00041625497007641754,3.6617143154144287,0.20095693779904308,0.20095693779904308,0.36363636363636365,0.16267942583732056
outer_fold_3_trial_level,202,6.081289965917568,5.549108028411865,3.069195877997161,1.891477108001709,15.747224807739258,202,5.242871198176157,4.375749588012695,3.0225582822400363,0.3609197437763214,14.89247226715088,-0.838418767741411,-0.7136232852935791,1.5343293265836073,2.09135359320393,11.300111979246138,0.8012842680927567,0.18811881188118812,0.0015335743638665502,4.446139335632324,-0.18811881188118812,0.18811881188118812,0.33663366336633666,0.5247524752475248
outer_fold_4_trial_level,217,5.28139564188944,4.774096965789795,2.4696030908218547,1.998684883117676,16.089902877807617,217,5.133657562567891,4.644639015197754,2.335421489744584,1.5915828943252563,15.780783653259276,-0.14773807932154917,-0.041713714599609375,1.0343128794349283,1.3997972555171032,6.211792945861816,0.832808836762081,0.05069124423963134,0.9439767362359593,4.75295877456665,-0.05069124423963134,0.05069124423963134,0.4930875576036866,0.543778801843318
