lstm_units,dense_units,dropout,learning_rate,batch_size,mean_inner_val_loss,median_best_epoch
1024,256,0.4,0.0001,128,2.5515607595443726,113
1024,256,0.2,0.0001,128,2.611346880594889,199
512,256,0.4,0.0001,128,2.6694682439168296,201
1024,128,0.4,0.0001,128,2.6828177769978843,126
512,128,0.4,0.0001,128,2.7454444567362466,120
512,256,0.2,0.0001,128,2.8193987210591636,226
512,128,0.2,0.0001,128,2.8459771474202475,257
1024,128,0.2,0.0001,128,2.934043566385905,51
